"Position","Name","Type","Signal","Label"
"183","PG14",,"SPI6_MOSI","LED_BELT_SPI_MOSI"
"184","VSS",,"Power",""
"185","VDD",,"Power",""
"186","PK3",,"Reset_State",""
"187","PK4",,"Reset_State",""
"188","PK5",,"Reset_State",""
"189","PK6",,"Reset_State",""
"190","PK7",,"Reset_State",""
"191","PG15",,"FMC_SDNCAS","FMC_SRAM_SDNCAS"
"192","PB3",,"SYS_JTDO-SWO","SYS_PROG_SWO"
"193","PB4",,"Reset_State",""
"194","PB5",,"GPIO_EXTI5","SENSOR_TEMPERATURE_IRQ"
"195","PB6",,"Reset_State",""
"196","PB7",,"Reset_State",""
"197","BOOT0",,"Reset_State",""
"198","PB8",,"I2C1_SCL","SENSOR_IMU_TH_I2C_SCL"
"199","PB9",,"I2C1_SDA","SENSOR_IMU_TH_I2C_SDA"
"200","PE0",,"FMC_NBL0","FMC_SRAM_NBL0"
"201","PE1",,"FMC_NBL1","FMC_SRAM_NBL1"
"202","VSS",,"Power",""
"203","PDR_ON",,"Reset_State",""
"204","VDD",,"Power",""
"205","PI4",,"FMC_NBL2","FMC_SRAM_NBL2"
"206","PI5",,"FMC_NBL3","FMC_SRAM_NBL3"
"207","PI6",,"FMC_D28","FMC_SRAM_D28"
"208","PI7",,"FMC_D29","FMC_SRAM_D29"
